,name,ratting,review,company_type,hq,old,employee
0,TCS,4.0,(22.5k Reviews),Public,"Mumbai,Maharashtra + 190 more",53 years old,100001+ employees
1,Accenture,4.0,(18.5k Reviews),Public,"Dublin,Dublin + 114 more",32 years old,100001+ employees
2,ICICI Bank,4.0,(17k Reviews),Public,Mumbai + 837 more,27 years old,50001-100000 employees
3,Cognizant,3.8,(16.6k Reviews),Private,Teaneck + 59 more,27 years old,100001+ employees
4,HDFC Bank,4.0,(14.9k Reviews),Public,"Mumbai,Maharashtra + 885 more",27 years old,100001+ employees
5,Wipro,3.8,(12.8k Reviews),Public,Bangalore + 197 more,76 years old,100001+ employees
6,Capgemini,3.7,(12.6k Reviews),Public,Paris + 53 more,54 years old,100001+ employees
7,HCL Technologies,3.8,(12.1k Reviews),Public,"Noida,Uttar Pradesh + 123 more",28 years old,100001+ employees
8,Tech Mahindra,3.6,(11.6k Reviews),Public,"Pune,Maharashtra + 111 more",35 years old,100001+ employees
9,Infosys,3.9,(11.5k Reviews),Public,Bangalore + 88 more,40 years old,100001+ employees
10,Vodafone Idea,4.2,(10.9k Reviews),Public,Mumbai + 482 more,3 years old,10001-50000 employees
11,Genpact,4.0,(10.8k Reviews),Private,New York + 40 more,24 years old,50001-100000 employees
12,Axis Bank,3.8,(10.5k Reviews),Public,Mumbai + 817 more,28 years old,50001-100000 employees
13,L&T,4.1,(10.5k Reviews),Public,Mumbai + 407 more,83 years old,100001+ employees
14,Reliance jio,4.0,(10.1k Reviews),Public,Navi Mumbai + 729 more,11 years old,10001-50000 employees
15,IBM,4.1,(10k Reviews),Public,New York + 91 more,110 years old,100001+ employees
16,Concentrix Corpora...,4.1,(9.7k Reviews),Public,"Fremont,California + 48 more",38 years old,100001+ employees
17,HDB Financial Serv...,4.0,(8.6k Reviews),Private,Ahmedabad + 582 more,14 years old,100001+ employees
18,Amazon,4.2,(8.2k Reviews),Private,"Seattle,Washington + 235 more",17 years old,100001+ employees
19,Kotak Mahindra Ban...,3.8,(6.9k Reviews),Public,"Mumbai,Maharashtra + 394 more",18 years old,10001-50000 employees
20,Tata Motors,4.1,(6.8k Reviews),Public,"Pune,Maharashtra + 325 more",76 years old,50001-100000 employees
21,Bharti Airtel,4.1,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 386 more",26 years old,10001-50000 employees
22,Teleperformance,3.6,(6.2k Reviews),Private,Paris + 80 more,43 years old,100001+ employees
23,Reliance Industrie...,4.0,(6k Reviews),Public,"Navi Mumbai,Maharashtra + 283 more",48 years old,100001+ employees
24,Bajaj Finserv,4.1,(4.8k Reviews),Public,Pune + 546 more,14 years old,10001-50000 employees
25,IndusInd Bank,3.7,(4.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 429 more",27 years old,10001-50000 employees
26,Mahindra & Mahindr...,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 309 more",14 years old,10001-50000 employees
27,Hinduja Global Sol...,3.9,(4.6k Reviews),Public,Bangalore + 60 more,21 years old,10001-50000 employees
28,Deloitte,3.9,(4.5k Reviews),Private,"New York,New York + 67 more",176 years old,100001+ employees
29,Samsung,4.2,(4.4k Reviews),Private,Seoul + 362 more,83 years old,100001+ employees
30,Indian Army,4.7,(4.3k Reviews),"New Delhi,Delhi + 241 more",126 years old,100001+ employees,
31,WNS,3.7,(4.1k Reviews),Private,"Mumbai,Maharashtra + 16 more",25 years old,10001-50000 employees
32,Maruti Suzuki,4.2,(4.1k Reviews),Public,"New Delhi,Delhi + 313 more",38 years old,10001-50000 employees
33,DXC Technology,3.5,(4k Reviews),Public,"Tysons,Virginia + 42 more",4 years old,10001-50000 employees
34,Reliance Retail,4.2,(3.9k Reviews),Private,"Navi Mumbai,Maharashtra + 307 more",15 years old,100001+ employees
35,Ericsson,4.2,(3.7k Reviews),Private,Stockholm + 117 more,145 years old,100001+ employees
36,Infosys BPM,4.0,(3.6k Reviews),"Bangalore/Bengaluru,Karnataka + 29 more",19 years old,10001-50000 employees,
37,HSBC,4.1,(3.5k Reviews),Private,London + 44 more,156 years old,100001+ employees
38,Startek,3.6,(3.5k Reviews),Greenwood Village + 40 more,34 years old,10001-50000 employees,
39,Jana Small Finance...,3.9,(3.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 257 more",15 years old,10001-50000 employees
40,Dr. Reddy's,4.2,(3.4k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 113 more",37 years old,10001-50000 employees
41,Cipla Pharmaceutic...,3.9,(3.4k Reviews),Public,Mumbai + 160 more,86 years old,10001-50000 employees
42,ICICI Prudential L...,4.2,(3.3k Reviews),Public,Mumbai + 343 more,20 years old,10001-50000 employees
43,Sutherland Global ...,3.8,(3.3k Reviews),Private,Pittsford + 25 more,35 years old,10001-50000 employees
44,Ernst & Young,3.7,(3.3k Reviews),Private,London + 49 more,32 years old,100001+ employees
45,Conneqt,3.8,(3.2k Reviews),"Hyderabad/Secunderabad,Telangana + 120 more",17 years old,10001-50000 employees,
46,Intelenet Global S...,3.7,(3.1k Reviews),Private,"Mumbai,Maharashtra + 54 more",21 years old,50001-100000 employees
47,Bajaj Allianz Life...,4.1,(3.1k Reviews),Private,Pune + 355 more,20 years old,10001-50000 employees
48,Lupin,4.2,(3.1k Reviews),Public,Mumbai + 111 more,53 years old,10001-50000 employees
49,Home Credit Financ...,4.1,(3k Reviews),Private,Gurugram + 86 more,9 years old,10001-50000 employees
50,Mphasis,3.8,(3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 30 more",21 years old,10001-50000 employees
51,Yes Bank,4.0,(3k Reviews),Public,Mumbai + 274 more,17 years old,10001-50000 employees
52,Asian Paints,4.3,(2.9k Reviews),Public,"Mumbai,Maharashtra + 243 more",79 years old,5001-10000 employees
53,IDFC FIRST Bank,3.8,(2.9k Reviews),Public,Mumbai + 224 more,6 years old,10001-50000 employees
54,Hewlett-Packard,4.3,(2.9k Reviews),Private,"Palo Alto,California + 71 more",82 years old,100001+ employees
55,HDFC LIFE,4.0,(2.9k Reviews),Mumbai + 327 more,21 years old,10001-50000 employees,
56,Reliance Communica...,4.0,(2.9k Reviews),Public,Navi Mumbai + 334 more,19 years old,1001-5000 employees
57,Future Group,4.2,(2.7k Reviews),Private,"Mumbai,Maharashtra + 177 more",8 years old,50001-100000 employees
58,Zydus Cadila,4.1,(2.7k Reviews),Public,"Ahmedabad, India + 118 more",69 years old,10001-50000 employees
59,OPPO,4.1,(2.7k Reviews),Public,"Dongguan,Guangdong + 265 more",17 years old,10001-50000 employees
60,NTT DATA,3.8,(2.6k Reviews),Private,"Chiyoda City,Tokyo + 27 more",33 years old,100001+ employees
61,Hindustan Unilever...,4.3,(2.6k Reviews),Public,London + 267 more,92 years old,10001-50000 employees
62,Mahindra & Mahindr...,4.3,(2.5k Reviews),Public,"Mumbai,Maharashtra + 450 more",30 years old,10001-50000 employees
63,Shapoorji Pallonji,4.2,(2.5k Reviews),Private,"Mumbai,Maharashtra + 116 more",156 years old,50001-100000 employees
64,Ujjivan Small Fina...,4.1,(2.5k Reviews),Public,Bengaluru + 296 more,4 years old,10001-50000 employees
65,Shriram Transport ...,4.2,(2.5k Reviews),Public,"Mumbai,Maharashtra + 495 more",42 years old,10001-50000 employees
66,Apollo Hospitals,4.1,(2.5k Reviews),Public,Chennai + 128 more,38 years old,50001-100000 employees
67,ITC,4.1,(2.5k Reviews),Public,"Kolkata,West Bengal + 164 more",46 years old,10001-50000 employees
68,Ashok Leyland,4.2,(2.5k Reviews),Public,"Chennai,Tamil Nadu + 151 more",73 years old,10001-50000 employees
69,Sun Pharmaceutical...,4.0,(2.5k Reviews),Public,Mumbai + 116 more,38 years old,10001-50000 employees
70,PayTM,3.8,(2.5k Reviews),Private,"Noida,Uttar Pradesh + 190 more",11 years old,1001-5000 employees
